seed,fold_number,elbo,accuracy,log_prob
27,1,-43416.136828006594,0.2857142857142857,-13.173891180900638
32,3,-43555.28205864673,0.8571428571428571,-2.169410114435601
22,4,-43433.34876743436,0.7142857142857142,-4.831359539735078
27,2,-43096.25127719686,0.5714285714285714,-7.020242316825252
32,4,-43343.09024844458,1.0,-0.8798592313195903
22,5,-43476.15324918006,0.5714285714285714,-12.124859853064915
27,3,-43596.00735104189,0.8571428571428571,-3.7027699602283968
32,5,-43454.34298013733,0.8571428571428571,-4.277325134065078
22,6,-43428.37639223441,0.7142857142857142,-9.193930490221488
27,4,-43090.476725679415,0.8571428571428571,-3.978365314004017
32,6,-43411.52210334013,0.5714285714285714,-8.157279875552327
22,7,-43338.52562371979,0.7142857142857142,-11.127593394911724
32,7,-43439.744855098426,0.4285714285714285,-11.517422757374645
27,5,-43573.61294117867,0.5714285714285714,-9.73103240709581
22,8,-43338.499901760544,0.7142857142857142,-6.032358520566916
32,8,-43054.381065516674,0.5714285714285714,-8.070444490469107
27,6,-43178.67302765243,0.5714285714285714,-5.782511500350629
22,9,-43331.45344035316,0.5714285714285714,-12.85959231098298
32,9,-42915.61533659202,0.7142857142857142,-7.10581854200835
27,7,-43569.49825643032,0.4285714285714285,-12.276099009299315
27,8,-43657.39059073699,0.5714285714285714,-5.248963561590322
27,9,-43139.77101668145,0.7142857142857142,-9.115354662957543
